line,class
"L/d : 2500-3000 / 1800 mt SSHEX EIU","Laycan date"
"2.5% TTL COMM HERE",Commision
"1ST WEEK APRIL","Laycan date"
"L/d : 2500-3000 / 1800 mt SSHEX EIU","Laycan date"
"2.5% TTL COMM HERE",Commision
"03/09 April","Laycan date"
"2.5% TTL COMM HERE",Commision
"EARLY MAY 17","Laycan date"
"2.5% TTL COMM HERE",Commision
"EARY MAY 17","Laycan date"
"2.5% TTL COMM HERE",Commision
"3.75% IAC",Commision
"Load rate: 12 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (5 days notices)","Laycan date"
"2.5% TTL COMM HERE",Commision
"3.75% iac",Commision
"DISCH PORT  1-2 SB(S) EACH PORT 1-2 P(S) IN CHARTERERS OPTION OUT OF",Ports
"LAYCAN      S P O T   TRY 15th APRIL CANCELLING","Laycan date"
"DISCH RATE  DES         - 2.500 MTS PWWD CHOPT 1.500 MTS","Ld rate"
"Laycan : 13/17 April","Laycan date"
"2.5% ttl comm here",Commision
10-13.April,"Laycan date"
"3.75% iac",Commision
"18 APRIL onwards","Laycan date"
"2.5% ttl comm here",Commision
"5/10 MAY","Laycan date"
"3.75% IAC",Commision
"LAY/CAN 9/11 APRIL","Laycan date"
"5.0% IAC",Commision
"Load rate : 8000 MT PWWD FHINC","Ld rate"
"Discharge rate : 7000 MT PWWD FHINC","Ld rate"
"Laycan:  Beg May 2017","Laycan date"
"l/d 6 ttl days","Laycan date"
"l/c 4-12 April 2017","Laycan date"
"3.75% iac",Commision
"13 / 14 April","Laycan date"
"3.75% iac",Commision
"laycan 3-10 april","Laycan date"
"3.75% iac",Commision
"L/D: 4000 mt pwwd / 4000 mt pwwd","Laycan date"
"Discharge rate: 3500 MT / 24 hours WWDSHINC basis 4 cranes working","Ld rate"
"ppt onw –early may","Laycan date"
"3.75% iac",Commision
"10/20 april","Laycan date"
"2500 shinc/3500 shinc","Ld rate"
"3.75% iac",Commision
"6000  SHINC  / 5000 SHINC","Ld rate"
"LAYCAN SPOT PPT ONW","Laycan date"
"3.75% iac",Commision
"1/10  May","Laycan date"
"3.75% iac",Commision
"20/23  April","Laycan date"
"gcn 3.75% iac",Commision
"L/C 25/30 APRIL","Laycan date"
"L/D 4000/2500 SID, GRED MIN 25 MT","Laycan date"
"TTL COMM 5.0% IAC",Commision
"04-07 May 2017","Laycan date"
"L/D Cqd/Cqd","Laycan date"
"TTL COMM: 3.75% iac",Commision
"LC 14 / 17 APRIL","Laycan date"
"TTL COMM 2.5% HERE ON FDD",Commision
"25/30 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"LC: SPOT/26 APR","Laycan date"
"3.75% IAC",Commision
"5-7 MAY 2017","Laycan date"
"3.75% IAC",Commision
"24/28 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"laycan 22/24 april","Laycan date"
"2.5% TTL COMM HERE",Commision
"Cargo -  Stone chips in bulk",Description
"Quantity - 55,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong or Mongla",Ports
"Laycan – Spot","Laycan date"
"Load Rate - 10,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Comm - 3.75% IAC 2.5%",Commision
"Cargo -  Tapioca chips in bulk (S/f: 2.2)",Description
"Quantity - 10,000mt +/-10% MOLOO",Quantity
"Laycan: 25-30Mar, 2017","Laycan date"
"Load Rate - 1500mt pwwd shinc","Ld rate"
"Disch Rate - 1,5,00mt pwwd shinc","Ld rate"
"Comm - 3.75% IAC 2.5%",Commision
"Cargo -  Limestone in bulk",Description
"Quantity - 45,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong, Bangladesh",Ports
"Laycan – 5-10April, 2017","Laycan date"
"Load Rate - 8,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Comm - 3.75% IAC 2.5%",Commision
"Cargo: Woodchips in bulk",Description
"Laycan: 15-20April, 2017","Laycan date"
"Comm - 3.75% IAC 2.5%",Commision
1000/1000,"Ld rate"
"2.5% ttl comm here",Commision
"3.75% iac",Commision
"Laycan- 28’April’17 to 4’May’17","Laycan date"
"3.75% IAC",Commision
"2.5% TTL COMM HERE",Commision
"3.75% IAC",Commision
"8000 FSHEX / 3000 MT SSHEX","Ld rate"
"2.5% TTL COMM HERE",Commision
"LAYCAN STARTING FM APRIL 2017","Laycan date"
"L/D 5.000 / 3.500 MT","Laycan date"
"2.5% TTL COMM HERE",Commision
"3.75% IAC",Commision
"Laycan  vessel date.","Laycan date"
"2.5% ttl comm here",Commision
"VANOMET - 3.75% IAC",Commision
"3.000 SHINC / 3.000 SSHEX EIU","Ld rate"
"LAYCAN 7/10 APRIL","Laycan date"
"3.75% IAC",Commision
"4.000ts sshex - 4.000ts shinc","Ld rate"
"gencon 3.75% iac",Commision
"VANOMET - 3.75% IAC",Commision
"3.000 SHINC / 3.000 SSHEX EIU","Ld rate"
"LAYCAN 7/10 APRIL","Laycan date"
"Gencon 5.0% iac",Commision
"2ND HALF OF APRIL","Laycan date"
"10/15 APRIL","Laycan date"
"L/D PORT: 1SAP KOHSICHANG, THAILAND / 1SBP RIZHAO, CHINA",Ports
"LYCN: 25-30TH APR.","Laycan date"
"L/D RATE: 7,000MT PWWD SHINC/3,500MT PWWD SHINC","Ld rate"
"LAYCAN: SPOT ONWARD TRY VSL DATE.( PLS ADV OWNS LAYCAN)","Laycan date"
"5.0% IAC ON F/D/D",Commision
"load rate : 8000 shinc","Ld rate"
"Discharge rate : 10000 shinc","Ld rate"
Laycans:,"Laycan date"
"Comm : 2.5% ttl here",Commision
"2.5% ttl comm here",Commision
"18-23 April 2017","Laycan date"
"2’000/2’000 sshex eiu","Ld rate"
"Stemmor 5.25% iac",Commision
"3.000 SHINC / 5.000 SSHEX EIU","Ld rate"
"s p o t /20 april","Laycan date"
"3.75% IAC",Commision
"lc 8-9 april","Laycan date"
"3.75% iac",Commision
"LAYCAN: SPOT ONWARD TRY VSL DATE.( PLS ADV OWNS LAYCAN)","Laycan date"
"5.0% IAC ON F/D/D",Commision
"20/27 apr","Laycan date"
"5.0% IAC",Commision
1000/1000,"Ld rate"
"2.5% ttl comm here",Commision
"Beg May 2017","Laycan date"
"2.5% ttl comm here",Commision
"L/C: 01/05 May 2017","Laycan date"
"L/D: 750 mt per hook per WWD SHEX EIU / 1000 mt per WWD FHEX EIU, basis 3 workable hooks","Laycan date"
"2.5% TTL COMM HERE",Commision
"1500 / 2000 sshex eiu  ","Ld rate"
"lc 23-25 April'17","Laycan date"
"20 APRIL  ONW","Laycan date"
"2.5% TTL COMM HERE",Commision
"LAYCAN      28 April / 5 May 2017","Laycan date"
"LOADRATE    2,500 mtons pwwd","Ld rate"
"DISCH RATE  Berbera     2,500 mtons pwwd","Ld rate"
"L/C: 11/17 May 2017","Laycan date"
"L/C: 8/12 May","Laycan date"
"L/D: 15,000/20,000 SHINC – 12 hrs TT","Laycan date"
"2.5% ttl comm here",Commision
"23 / 24 April 2017","Laycan date"
"6.000 Shinc / 3.500 Sshex-eiu","Ld rate"
"2.5% TTL COMM HERE",Commision
15-17.April,"Laycan date"
"3.75% iac",Commision
"21/23 APRIL","Laycan date"
"5.0% IAC",Commision
"L/D: 4000 MT PWWDSHINC/CQD","Ld rate"
"3.75% IAC",Commision
"shipment  1- 15 may","Laycan date"
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"laycan 28/31 april","Laycan date"
"3.75% iac",Commision
"3.75% IAC",Commision
"18/22 April","Laycan date"
"3.75% iac",Commision
"apr 21/25","Laycan date"
"3.75% iac",Commision
"L/D ttl days","Laycan date"
"3.75% iac",Commision
"L/C 5/10 May","Laycan date"
"L/D 4000MT PWWD SHINC / 5000 MT PWWD SHINC.","Laycan date"
"2.5% ttl comm here",Commision
"NAGOYA – 7,000MTS PWWD SHINC","Ld rate"
"DISRATE: 6,000MTS PWWD SHINC","Ld rate"
"LOAD RATE  : 7000 PWWD SHINC","Ld rate"
"DISH RATE  : 3000 PWWD FHINC","Ld rate"
"10,000 shinc / 7,000 shinc","Ld rate"
"2.5% ttl comm here",Commision
"L/C 15/31 May, 2017","Laycan date"
"25/28 APRIL","Laycan date"
"5.0% iac",Commision
"l/d 6 ttl days","Laycan date"
"l/c 4-12 April 2017","Laycan date"
"3.75% iac",Commision
"2000 FSHEX / 2000 SSHEX","Ld rate"
"GCN 5.0% IAC",Commision
"18-21 april","Laycan date"
"5.0% iac",Commision
"L/C 02-10 MAY.2017","Laycan date"
"L/D FREE IN, 2 DAYS SHINC / LINER OUT","Laycan date"
"GENCON 5.0% IAC",Commision
"2.5% TTL COMM HERE",Commision
"15-20 APRIL","Laycan date"
"GCN 3.75% IAC",Commision
"laycan:  28-29 April","Laycan date"
"2.5% ttl comm here",Commision
"25/30 APRIL","Laycan date"
"2.5% TTL COMM HERE",Commision
"LC: SPOT/26 APR","Laycan date"
"3.75% IAC",Commision
"3.75% iac",Commision
"Laycan 24-28 April","Laycan date"
"2.000 mt sshex eiu/ cqd","Ld rate"
"Loading Port:    Marina di Carrara , Italy. ",Ports
"Discharge Port:  Sault Saint Mary , Canada.",Ports
"L/D 50000 MTS / 20000 MTS","Laycan date"
"2.5% TTL COMM HERE",Commision
"29/30  March","Laycan date"
"3000 sshex /800 fshex","Ld rate"
"Gnc 3.75% IAC",Commision
"30/31 March","Laycan date"
"2000 sshex /1000 sshex","Ld rate"
"Gnc 3.75% IAC",Commision
"29 March / 3 April","Laycan date"
"Gnc 3.75% iac",Commision
"ttl 2 days SHINC","Ld rate"
"2.5% ttl comm here",Commision
1000/1000,"Ld rate"
"3.75% iac",Commision
"2.5% ttl comm here",Commision
"2.5% ttl comm here",Commision
"Load rate: 12 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (5 days notices)","Laycan date"
"2.5% TTL COMM HERE",Commision
"l/c 16-19 APR 2017","Laycan date"
"l/d 12 hrs sshinc / 12 hrs sshinc","Laycan date"
"3.75% IAC",Commision
"Laycan 15/20 April ","Laycan date"
"Load/disch  1500 sshex ","Ld rate"
"3.75% iac",Commision
"-LOAD RATE: 4500MT SHINC PWWD","Ld rate"
"-COMM: total 1.25% ",Commision
"-LOAD RATE: 4500MT SHINC PWWD","Ld rate"
"-COMM: total 1.25% ",Commision
"LAYCAN: 6-10TH MAY","Laycan date"
"L/D RATE:6000/3500","Ld rate"
"-l/rate:7000mt pwwd shinc","Ld rate"
"-Comm: 2.5% total",Commision
"7,000/3,000MTS PWWD FHINC.","Ld rate"
"LAYCAN MID APR","Laycan date"
"L/d rate : 5,500/2,000","Ld rate"
"Laycan 5-10th April  ","Laycan date"
"1-5th apr.","Laycan date"
12000/8000shinc,"Ld rate"
"10-15th apr.","Laycan date"
"L/D PORT : 1SBP QUI NHON / 1SBP ZHANJIANG",Ports
"L/D RATE: 5000MTS/4000MTS PWWD SHINC","Ld rate"
"LCN : 15-20 APRIL","Laycan date"
"LAYCAN: 15-20 APRIL 2017","Laycan date"
"5,000 MT SHINC/5,000 SHINC","Ld rate"
"  8000MT / 12,000MT SHINC","Ld rate"
"LOADING PORT :1 SAP OWENDO W. AFRICA",Ports
"DISCHARGE PORT: 1SBP QINZHOU OR TIANJIN, CHINA",Ports
"L/D RATE: 7000/10000 PWWD SHINC","Ld rate"
"COMM 2.5% PUS",Commision
"LAYCAN: 15-20 APRIL 2017","Laycan date"
"5,000 MT SHINC/5,000 SHINC","Ld rate"
"L/d rate : 5,500/2,000","Ld rate"
"Laycan 5-10th April  ","Laycan date"
"LAYCAN SPOT PTW  ","Laycan date"
"DISCHARGE PORT : 1 SP N , CHINA",Ports
"DISCHARGE RATE : 8000 MT PWWD SHINC, 12 HOURS TURN TIME","Ld rate"
"LAYCAN : 07TH - 09TH APRIL, 2017","Laycan date"
"LAYCAN SPOT PPT ONW                     ","Laycan date"
"Laycan 20-30th, Apr","Laycan date"
"Loading port  1sbp Iran Bik",Ports
"discharge port  1sbp China  RIVER PORT(10.5M FW)",Ports
"loading rate 5000 fhinc","Ld rate"
"discharge rate 10000 shinc","Ld rate"
"-COMM: TTL 2.50% PUS",Commision
"-l/rate:5000mt pwwd shinc","Ld rate"
"-d/rate:3000MT PWWD SHINC","Ld rate"
"-comm: 2.5% iac",Commision
"Laycan 1-5th April  ","Laycan date"
"L/D RATE 7000/3000 PWWD SHINC,","Ld rate"
"COMM TTL 2.5 PCT PUS",Commision
"End April, 2017","Laycan date"
"End April, 2017","Laycan date"
"7,000/3,000MTS PWWD FHINC.","Ld rate"
"LAYCAN MID APR","Laycan date"
"L/D: Cam Pha/ Chittagong","Laycan date"
"Laycan: 5-10 April + 15-20 April","Laycan date"
"L/D rate: 8000/3000 Shinc","Ld rate"
"Comm 2.5% pus",Commision
"L/D PORT: NANJING,CHINA/ SURABAYA,INDONESIA",Ports
"L/D RATE:3500MT/3500MT ","Ld rate"
"LAYCAN: 6-10TH MAY","Laycan date"
"L/D RATE:6000/3500","Ld rate"
"LAYCAN SPOT PPT ONW","Laycan date"
"load rate 3000. fhex eiu","Ld rate"
"disch port china ( Nanjing or nantong any one in chopt )",Ports
"disch rate : 5000 shinc","Ld rate"
"laycan 15-20 Apr, try vsl date","Laycan date"
"-18TH-24TH / APR  ","Laycan date"
"L/D PORT: NANJING,CHINA/ SURABAYA,INDONESIA",Ports
"L/D RATE:3500MT/3500MT ","Ld rate"
"LayCan           : 25th - 30th April, 2017","Laycan date"
"-18TH-24TH / APR  ","Laycan date"
"LAYCAN 20-25TH APRIL","Laycan date"
"LOAD RATE 350MT SHINC PWWD","Ld rate"
"DISCH RATE 4500MT SHINC PWWD","Ld rate"
"COMM total 2.5%",Commision
"QUANTITY: MIN 41000/ MAX 44000 MT IN OO",Quantity
"DISCHARGE RATE 7000 MTS PDPR","Ld rate"
"load rate 3000. fhex eiu","Ld rate"
"disch port china ( Nanjing or nantong any one in chopt )",Ports
"disch rate : 5000 shinc","Ld rate"
"laycan PROMPT, try vsl date","Laycan date"
"L/D PORT: NANJING,CHINA/ SURABAYA,INDONESIA",Ports
"L/D RATE:3500MT/3500MT ","Ld rate"
"L/D PORT:NANJING,CHINA/ KUANTAN + KELANG OR PASIR GUDANG, MALAYSIA",Ports
"- 01-10TH/MAY, 2017","Laycan date"
"-20TH-25TH / APR  ","Laycan date"
"l/d port: nanjing,chn/ gresik , indonesia",Ports
"l/d rate: 3500/3500 pwwd shinc","Ld rate"
"- 5TH~10TH/APR","Laycan date"
"- L/C:17-21TH,APR;","Laycan date"
"-l/rate:5000mt pwwd shinc","Ld rate"
"-d/rate:3000MT PWWD SHINC","Ld rate"
"-comm: 2.5% iac",Commision
"l/rate:7000mt pwwd shinc","Ld rate"
"7,000/3,000MTS PWWD FHINC.","Ld rate"
"LAYCAN MID APR","Laycan date"
"Laycan 1-5th April  ","Laycan date"
"Laycan:   20-30  April","Laycan date"
"L/D rate: 6,000mt pwwd bends","Ld rate"
"Comm: 3.75% IAC",Commision
"L/D: Cam Pha/ Chittagong","Laycan date"
"Laycan: 5-10 April + 15-20 April","Laycan date"
"L/D rate: 8000/3000 Shinc","Ld rate"
"Comm 2.5% end",Commision
"-COMM: TTL 2.50% PUS",Commision
"Quantity: 40,000 – 45,000 GMT",Quantity
"Laycan: 5-15 Apr 2017","Laycan date"
"Loading rate/Discharge rate: 9000/5000 GMT","Ld rate"
"-COMM:2.5% PUS",Commision
"10-13 april","Laycan date"
"8000 UU /5000 sshex mon08 uu","Ld rate"
"Laycan 10-20th, Apr","Laycan date"
"Loading port  1sbp Iran Bik",Ports
"discharge port  1sbp China  RIVER PORT(10.5M FW)",Ports
"loading rate 5000 fhinc","Ld rate"
"discharge rate 10000 shinc","Ld rate"
"- L/Rate:7000Mt Pwwd Shinc","Ld rate"
"25-30TH APR   2017","Laycan date"
"8000MT SHINC /8000MT SHINC","Ld rate"
"20K SHINC/9K FHINC","Ld rate"
"Laycan : MAY 2-7, 2017","Laycan date"
"25-30 April, 2017","Laycan date"
"10) Comm: 2.5% iac",Commision
"Quantity 12000 mt +/- 10 Pct choption  ",Quantity
"LAYCAN:7/9 APRIL","Laycan date"
"Load rate:10000 MT PWWD","Ld rate"
"Disch rate:6000 MT ","Ld rate"
"load rate 3000. fhex eiu","Ld rate"
"disch port china ( Nanjing or nantong any one in chopt )",Ports
"disch rate : 5000 shinc","Ld rate"
"laycan 15-20 Apr, try vsl date","Laycan date"
"from 13th May","Laycan date"
"20-30 APR","Laycan date"
"L/D: Hai Phong/ Konstanza Romania","Laycan date"
"Laycan: 5-15 April","Laycan date"
"Comm 2.5%",Commision
"L/D/ R: CQD","Laycan date"
"Laycan: end of May, 2017","Laycan date"
"Comm 1,25% pus",Commision
"1/10 MAY","Laycan date"
" 24th april onwards","Laycan date"
"LAYCAN: 1-6TH MAY     ","Laycan date"
"COMM 2.5 ADDCOM PUS",Commision
"17TH OF APR (PIN)","Laycan date"
"COMM 2.5 PUS",Commision
"20TH OF APR (PIN)","Laycan date"
"COMM 2.5 PUS",Commision
"PPT - Mid APR","Laycan date"
"Laycan 17-25 April  ","Laycan date"
"l/rate:7000mt pwwd shinc","Ld rate"
"2,000/1,000MTS PWWD SHINC.","Ld rate"
"LAYCAN 4-7 APR","Laycan date"
"7,000/3,000MTS PWWD FHINC.","Ld rate"
"LAYCAN MID APR","Laycan date"
"Discharging port: Beihai port",Ports
"Loading port: Hochiminh port",Ports
"L/d rate: 1500/1500","Ld rate"
"Laycan: 25-30April","Laycan date"
"12-16TH APRIL","Laycan date"
"8000/12000MT PWWD SHINC","Ld rate"
"-LAYCAN: APR 2017","Laycan date"
"-LOAD RATE: 5000MT SHINC PWWD","Ld rate"
"-COMM: total 2.5% ",Commision
"12-16TH APRIL","Laycan date"
"8000/12000MT PWWD SHINC","Ld rate"
"-LAYCAN: APR 2017","Laycan date"
"-LOAD RATE: 5000MT SHINC PWWD","Ld rate"
"-COMM: total 2.5% ",Commision
"9-12TH APRIL","Laycan date"
"8000/12000MT PWWD SHINC","Ld rate"
"-LAYCAN: APR 2017","Laycan date"
"-LOAD RATE: 5000MT SHINC PWWD","Ld rate"
"-COMM: total 2.5% ",Commision
"12-16TH APRIL","Laycan date"
"8000/12000MT PWWD SHINC","Ld rate"
"-LAYCAN: APR 2017","Laycan date"
"-LOAD RATE: 5000MT SHINC PWWD","Ld rate"
"-COMM: total 2.5% ",Commision
"15-20TH APRIL","Laycan date"
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 10,000 mt fhex uu ","Ld rate"
"Discharge rate : 2,500 mt fhex uu","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 10,000 mt fhex uu ","Ld rate"
"Discharge rate : 3,000 mt fhex uu","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"15-20TH APRIL","Laycan date"
"-LOAD RATE: 4000MT SHINC PWWD","Ld rate"
"-COMM: total 2.50% ",Commision
"-COMM: 2.5% ",Commision
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 10,000 mt fhex uu ","Ld rate"
"Discharge rate : 2,500 mt fhex uu","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"10-15TH APRIL","Laycan date"
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 10,000 mt fhex uu ","Ld rate"
"Discharge rate : 2,500 mt fhex uu","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"-LOAD RATE: 4000MT SHINC PWWD","Ld rate"
"-COMM: total 2.50% ",Commision
"15-20TH APRIL ","Laycan date"
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 10,000 mt fhex uu ","Ld rate"
"Discharge rate : 2,500 mt fhex uu","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 10,000 mt fhex uu ","Ld rate"
"Discharge rate : 3,000 mt fhex uu","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"10-15TH APRIL","Laycan date"
"10-15TH APRIL","Laycan date"
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 12,000 mt fhinc ","Ld rate"
"Discharge rate : 3,000 mt fhinc","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 12,000 mt fhinc ","Ld rate"
"Discharge rate : 3,000 mt fhinc","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"Discharge Port 1 SBSP DUQUM Port, Sultanate of Oman ",Ports
"Load Rate : 6,000 Mt PWWD SHINC ","Ld rate"
"Discharge Rate : 5,000 Mt PWWD FHEX","Ld rate"
"Laycan : 10- 15 April 2017","Laycan date"
"Comm  : 1.25 %",Commision
"Discharge port : Chittagong, Bangladesh",Ports
"Load rate : 8,000 mt fhex uu ","Ld rate"
"Discharge rate : 3,000 mt fhex uu","Ld rate"
"Laycan : 26- 30th April","Laycan date"
"Discharge port : Chittagong and Mongla",Ports
"Load rate : 10,000 mt fhex uu ","Ld rate"
"Discharge rate : 2,500 mt fhex uu","Ld rate"
"Laycan : Prompt (7 Days notices)","Laycan date"
"Load rate: 15 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (Cargo ready)","Laycan date"
"Comm 2.50% ttl",Commision
"Load rate: 15 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (Cargo ready)","Laycan date"
"Comm 2.50% ttl",Commision
"Discharge port : Chittagong, Bangladesh",Ports
"Load rate : 10,000 mt fhex uu ","Ld rate"
"Discharge rate : 3,000 mt fhex uu","Ld rate"
"Laycan : 26- 30th April","Laycan date"
"Discharge port : Chittagong, Bangladesh",Ports
"Load rate : 8,000 mt fhex uu ","Ld rate"
"Discharge rate : 2,500 mt fhex uu","Ld rate"
"Laycan : 26- 30th April","Laycan date"
"Load rate: 12 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (5 days notices)","Laycan date"
"Comm 1.25% ttl",Commision
"Load rate: 12 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (5 days notices)","Laycan date"
"Comm 1.25% ttl",Commision
"Load rate: 6 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (Cargo ready)","Laycan date"
"Comm 2.50% ttl",Commision
"Load rate: 6 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (Cargo ready)","Laycan date"
"Comm 2.50% ttl",Commision
"Load rate: 6 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (Cargo ready)","Laycan date"
"Comm 2.50% ttl",Commision
"Load rate: 6 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (Cargo ready)","Laycan date"
"Comm 2.50% ttl",Commision
"Load rate: 6 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (Cargo ready)","Laycan date"
"Comm 2.50% ttl",Commision
"Load rate: 6 days SSHEX EIU","Ld rate"
"Laycan:  Propmt (Cargo ready)","Laycan date"
"Comm 2.50% ttl",Commision
"loading port : 1sbp gresik, indonesia",Ports
"disch port : 1sbp gangavaram or vizak or krishnapatnam or kakinada, ec.india",Ports
"load rate : 3,000mt pwwd shex uu","Ld rate"
"laycan : 1st-15th may 2017 ","Laycan date"
"Laycan 20-30th, Apr","Laycan date"
"Loading port  1sbp Iran Bik",Ports
"discharge port  1sbp China  RIVER PORT(10.5M FW)",Ports
"loading rate 5000 fhinc","Ld rate"
"discharge rate 10000 shinc","Ld rate"
"loading rate:8000mt pwwd shinc","Ld rate"
"discharging rate:12000mt pwwd shinc","Ld rate"
"laycan:10th-20th., april,2017","Laycan date"
"14/18 April, 2017","Laycan date"
"20-30 april ","Laycan date"
"-comm 1.25% ttl pus",Commision
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sbp teluk bayur(padang), indonesia (9.5m sw)",Ports
"load rate : 5,000mt pwwd fhinc","Ld rate"
"laycan : prompt/onward","Laycan date"
"l/d port: lanshan,cn- kwangyang+ ulsan,korea",Ports
laycan:ppt,"Laycan date"
"laycan 15-20 apr'17","Laycan date"
"l/d rate 10k/3000 shex/fhex","Ld rate"
"Laycan vsl dates","Laycan date"
"Load rate: 4000 Mt pwwd shinc","Ld rate"
"Disrate: 2000mt pwwd shinc","Ld rate"
"l/rate:5000mt pwwd shinc","Ld rate"
"d/rate:3000MT PWWD SHINC","Ld rate"
"loading port : 1sbp gresik, indonesia",Ports
"disch port : 1sbp gangavaram or vizak or krishnapatnam or kakinada, ec.india",Ports
"load rate : 3,000mt pwwd shex uu","Ld rate"
"laycan : 1st-15th may 2017 ","Laycan date"
"loading port : 1sbp gresik, indonesia",Ports
"disch port : 1sbp mundra, wc.india",Ports
"load rate : 3,000mt pwwd shex uu","Ld rate"
"laycan : 1st-15th may 2017 ","Laycan date"
"Laycan 20-30th, Apr","Laycan date"
"Loading port  1sbp Iran Bik",Ports
"discharge port  1sbp China  RIVER PORT(10.5M FW)",Ports
"loading rate 5000 fhinc","Ld rate"
"discharge rate 10000 shinc","Ld rate"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sb 2sp cilegon(9,000mt), indonesia + kuching(7.5m - 11,000mt), malaysia",Ports
"load rate : 5,000mt pwwd fhinc","Ld rate"
"laycan : prompt/onward","Laycan date"
"3000 / 3000 sshex eiu   ","Ld rate"
"Mid April dates","Laycan date"
"loading rate:8000mt pwwd shinc","Ld rate"
"discharging rate:12000mt pwwd shinc","Ld rate"
"laycan:10th-20th., april,2017","Laycan date"
"laycan ppt spot","Laycan date"
"Laycan 10-15 APR 2017","Laycan date"
"loading port : 1sbp gresik, indonesia",Ports
"disch port : 1sbp mundra, wc.india",Ports
"load rate : 3,000mt pwwd shex uu","Ld rate"
"laycan : 1st-15th may 2017 ","Laycan date"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sb 2sp cilegon(9,000mt), indonesia + kuching(7.5m - 11,000mt), malaysia",Ports
"load rate : 5,000mt pwwd fhinc","Ld rate"
"laycan : prompt/onward","Laycan date"
"Laycan 20-30th, Apr","Laycan date"
"Loading port  1sbp Iran Bik",Ports
"discharge port  1sbp China  RIVER PORT(10.5M FW)",Ports
"loading rate 5000 fhinc","Ld rate"
"discharge rate 10000 shinc","Ld rate"
"3000 shinc/2000 shinc","Ld rate"
"May 22 – 29 ","Laycan date"
"l/d port: 1sap kohsichang, thailand / 1sbp qinzhou, s. china",Ports
"lycn: 7-10th apr.","Laycan date"
"l/d rate: 5,000mt pwwd shinc/2,200mt pwwd shinc","Ld rate"
"comm 2.5% pus",Commision
"lycn: 13-20th apr.","Laycan date"
"l/d rate: 7,000mt pwwd shinc/3,500mt pwwd shinc","Ld rate"
"comm 2.5% pus",Commision
"l/d port: 1sap kohsichang, thailand / 1sbp zhenjiang, china",Ports
"lycn: 20-30th apr.","Laycan date"
"l/d rate: 5,000mt pwwd shinc/2,500mt pwwd shinc","Ld rate"
"comm 2.5% pus",Commision
"L.Rate: 10,000mt pwwd shinc","Ld rate"
"D.Rate:  7,000mt pwwd shinc","Ld rate"
"laycan 27th april  to 2nd may2017","Laycan date"
"l/d rate 5000/10000 ","Ld rate"
"comm 2.5 pus",Commision
"laycan  27th april  to 2nd may2017","Laycan date"
"l/d rate 5000/10000 ","Ld rate"
"comm 2.5 pus",Commision
"Cargo: Mill Scale",Description
"Laycan: early may, try vsl dates","Laycan date"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sbp teluk bayur(padang), indonesia (9.5m sw)",Ports
"load rate : 5,000mt pwwd fhinc","Ld rate"
"laycan : prompt/onward","Laycan date"
"21-Apr-17 5:05 PM","Laycan date"
"laycan can do vessel date.","Laycan date"
"loading port: 1sbp,kordinat pulau baai,indonesia",Ports
"discharging port :1sbp,qinzhou,south china",Ports
